ID,female,age,level_sco,nationality,paid_act,internship,children,id_parentsinc,parents_stat,semester,siblings,bac,distance
1e7q26839,0,20,2,1,0,1,0,6,0,0,2,1,2
1a5a86549,1,18,,1,1,1,0,8,1,1,1,2,2
1m5t52377,1,21,2,1,0,1,0,8,1,1,3,2,2
1w5h98538,0,23,2,1,0,1,0,5,1,1,2,2,2
1e5q52554,1,19,2,1,0,1,0,4,1,1,2,2,2
1q5m68565,1,17,2,1,0,0,0,7,0,1,2,2,2
1e5n94378,0,20,,1,0,1,0,7,1,1,0,1,2
1w5k56565,1,18,2,1,0,0,0,6,1,1,2,2,2
1c5f84559,0,20,2,1,1,0,0,5,1,1,1,1,2
1e2n74246,0,17,2,1,1,1,0,3,0,1,1,1,2
1s5u94537,1,21,2,1,1,1,0,4,1,1,1,1,2
1w5k96564,1,19,,1,0,0,0,8,1,1,0,1,2
1g5v94566,0,20,2,1,0,0,0,8,0,1,3,1,2
1m2w26224,0,23,,1,1,1,0,8,1,0,2,3,3
1m3w78896,0,20,,1,0,1,0,7,1,0,0,3,4
1u9z94797,0,19,,1,1,1,0,8,1,0,1,4,4
1m9t98846,1,20,,1,1,1,0,8,1,1,1,2,4
1u2c38845,0,19,2,1,0,0,0,5,1,1,1,1,4
1e6q96733,1,19,2,1,1,0,0,5,0,1,1,4,5
1e5q72879,0,19,2,1,1,1,0,3,1,0,1,2,6
1g8y28984,0,20,,1,0,0,0,7,1,0,1,1,6
1e2q54855,0,19,2,1,1,0,0,3,1,0,2,4,6
1e8n82355,0,19,2,1,0,1,0,5,1,1,1,1,7
1y2s76225,1,22,,1,0,1,0,8,1,1,2,3,7
1c2f72226,1,18,2,1,0,1,0,6,0,1,5,2,7
1e4q98868,0,19,2,1,0,1,0,5,0,1,2,3,7
1s2u34944,1,18,,1,1,0,0,8,1,0,2,4,7
1w6h96947,1,18,,1,1,0,0,8,1,1,2,4,7
1y6p24953,0,17,,1,1,0,0,8,1,0,1,3,7
1c7f32468,1,20,2,1,1,1,0,4,1,1,1,1,7
1w6h98472,0,19,2,1,0,1,0,6,0,1,2,1,7
1a7x34454,1,23,2,1,0,1,0,5,0,1,4,3,7
1s5u58793,1,24,,1,0,1,0,7,1,0,1,1,7
1g6y72735,1,22,,1,0,1,0,7,1,1,1,4,7
1a9x66929,0,19,2,1,1,0,0,6,0,1,1,2,8
1a9a28654,1,26,,1,0,1,0,7,0,0,1,2,8
1m9w24675,1,28,,1,0,1,0,7,1,1,1,3,8
1g9y64647,1,25,2,1,0,1,0,3,1,1,2,2,8
1y9p82663,0,21,,1,1,1,0,8,1,1,1,1,8
1s9r56658,0,20,2,1,0,1,0,5,1,0,1,3,8
1g9v24673,1,21,,1,1,1,0,7,1,1,1,1,8
1e9n32658,1,24,2,1,0,1,0,5,0,1,2,2,8
1u9c54924,1,20,2,1,1,1,0,5,1,1,1,2,8
1w9k74664,0,17,,1,0,1,0,7,1,1,0,2,8
1c9f68699,1,19,,1,0,1,0,7,0,1,1,2,8
1q9j72682,1,20,,1,0,1,0,7,1,1,0,2,8
1e9n44932,1,21,2,1,1,1,0,6,1,1,4,3,8
1u9z98258,1,18,,1,1,1,0,8,1,0,1,3,8
1g9y66269,1,21,2,1,0,1,0,5,1,1,2,2,8
1g9v22263,1,18,,1,1,0,0,8,1,0,1,3,8
1a2x88327,1,21,,1,0,1,0,8,1,1,1,4,8
1w2k68337,0,19,2,1,1,0,0,6,1,1,2,1,8
1a2a34327,0,17,2,1,1,0,0,6,1,1,1,2,8
1a2a84329,1,25,,1,0,1,0,7,1,1,1,1,8
1y9p34297,0,20,,1,1,1,0,7,1,1,1,3,8
1g2v38323,1,21,2,1,0,0,0,5,1,1,4,2,8
1w3k76927,1,22,2,1,1,1,0,4,1,1,1,2,8
1u2c64837,0,18,,1,1,0,0,8,1,0,1,4,8
1u3c34925,1,23,2,1,0,1,0,3,1,1,2,1,8
1s2u86375,1,23,,1,0,1,0,8,1,0,2,3,8
1c9f58252,1,22,,1,0,1,0,8,1,1,1,3,8
1a2x52833,0,18,,1,1,0,0,8,1,0,2,4,8
1m2t48836,1,18,,1,1,0,0,8,1,0,2,4,8
1w3k44923,0,20,2,1,1,1,0,5,1,0,2,4,8
1c2f98339,0,21,2,1,1,1,0,5,1,1,1,1,8
1e9n62238,1,21,,1,0,1,0,7,1,1,1,1,8
1u2c48834,0,17,,1,1,0,0,7,1,0,1,4,8
1c2f88336,1,17,2,1,0,0,0,6,1,0,1,1,8
1y3s98923,0,20,,1,0,1,0,7,1,1,1,1,8
1e3n82929,0,20,,1,1,1,0,8,1,1,1,2,8
1a9a36247,1,19,2,1,1,1,0,5,1,1,1,3,8
1s3u64926,1,17,2,1,0,1,0,5,1,0,0,4,8
1u9c66259,1,25,,1,0,1,0,7,1,1,1,3,8
1s2u94326,0,22,,1,0,1,0,7,1,1,1,1,8
1e9q22273,1,21,2,1,0,1,0,5,0,1,2,1,8
1m2t72366,1,18,2,1,1,0,0,4,1,1,1,1,8
1m2t94367,0,19,,0,1,0,0,7,1,1,1,2,8
1a2a72984,0,19,,1,1,0,0,8,1,0,0,3,8
1e2q64355,1,23,2,1,1,1,0,5,1,1,1,1,8
1u3z48926,1,19,,1,0,1,0,8,1,0,2,4,8
1m2t84364,0,20,2,1,1,0,0,6,1,1,1,3,8
1y9s52256,0,20,,1,1,0,0,7,1,1,1,3,8
1s2r46268,1,19,2,1,0,1,0,4,1,1,1,3,8
1a2x68833,1,18,2,1,1,0,0,3,1,0,1,4,8
1u2c22332,1,18,2,1,0,0,0,5,1,1,2,2,8
1w2k34367,0,20,,1,0,1,0,8,0,1,1,1,8
1g2v58329,1,24,,1,0,1,0,7,0,1,1,2,8
1a9a88273,1,25,,1,0,1,0,8,1,0,0,2,8
1a2a52354,1,19,2,1,1,0,0,5,1,1,2,4,8
1s5r44255,1,22,,1,0,1,0,8,0,1,0,3,9
1a6a54256,1,21,,1,1,1,0,7,1,1,0,3,9
1y6p56237,1,27,2,1,0,0,0,4,0,1,3,1,9
1y6s24252,1,18,,1,1,1,0,8,0,1,2,3,9
1y5p68262,1,18,,1,1,0,0,7,1,0,1,3,9
1e2n52822,0,17,2,1,1,0,0,6,1,0,2,3,9
1e5q88286,1,23,2,1,0,1,0,2,1,1,0,2,9
1u6z84235,1,24,,1,0,0,0,8,1,1,1,1,9
1u6z68288,1,23,,1,0,1,0,7,1,1,1,3,9
1c6f82262,0,24,2,1,0,1,0,7,0,1,4,2,9
1e5q28252,1,21,,1,1,1,0,6,1,1,0,1,9
1m2t32822,0,18,,1,1,0,0,8,1,0,1,4,9
1a2x32265,1,18,2,1,0,0,0,5,1,0,1,1,9
1m2t38266,0,21,,1,0,0,0,8,1,1,1,1,9
1e5n34247,1,21,2,1,1,1,0,4,1,0,1,4,9
1a2x54827,0,17,2,1,1,0,0,5,1,0,2,4,9
1q6m24259,0,20,2,1,0,1,0,6,1,1,1,1,9
1q6j94293,1,19,,1,0,0,0,7,1,0,1,3,9
1g7y78222,1,24,,1,1,0,0,6,1,0,0,2,9
1w5k28259,1,21,2,1,0,1,0,3,1,1,3,3,9
1q6m32283,1,20,,1,1,1,0,7,1,1,0,4,9
1s7r24222,1,19,,1,1,0,0,7,1,0,1,2,9
1u6z86229,1,24,,1,1,1,0,8,0,1,0,2,9
1a7x42226,0,17,,1,1,0,0,8,1,0,1,2,9
1c5f52265,1,17,2,1,0,0,0,6,0,0,2,4,9
1q6j62288,1,21,,1,0,1,0,7,1,1,1,3,9
1e2n52962,1,20,,1,1,1,0,8,1,1,1,3,9
1m2t64826,0,18,,1,1,0,0,8,0,0,0,3,9
1m6t74268,0,17,,1,1,0,0,7,0,1,1,3,9
1a5x24255,1,22,,1,1,1,0,7,0,1,1,1,9
1e7q76387,1,19,,1,0,,0,7,0,1,1,3,9
1q7j82378,1,21,2,1,1,0,0,5,1,1,2,1,9
1g4v86943,1,19,2,1,1,1,0,6,0,1,2,3,9
1g7v76377,0,19,2,1,1,0,0,4,1,1,3,1,9
1e7q32399,1,20,2,1,1,1,0,6,1,1,2,1,9
1s8r56324,1,20,,1,0,1,0,8,1,1,1,3,9
1s7u78386,1,17,,1,0,0,0,8,1,0,1,3,9
1m7t96353,1,20,,1,0,1,0,8,1,0,1,2,9
1m7t94358,0,18,2,1,1,0,0,7,1,1,2,4,9
1w7h74367,1,22,2,1,0,1,0,1,1,1,3,1,9
1w7h88387,1,20,2,1,1,0,0,5,1,1,0,1,9
1e7q48372,1,22,,1,0,1,0,7,1,1,1,3,9
1m7w64353,1,19,,1,0,1,0,7,1,1,1,3,9
1w7k26393,0,20,,1,0,1,0,7,1,1,1,1,9
1a8x68327,1,19,2,1,1,0,0,3,1,1,2,2,9
1w8h78327,1,18,2,0,1,0,0,5,1,1,3,4,9
1q7m32352,0,20,2,1,0,1,0,5,1,0,1,1,9
1c7f46393,1,20,2,1,1,0,0,6,1,1,1,1,9
1w6h24349,1,20,,1,1,1,0,8,1,1,1,2,9
1s7r54372,1,17,2,1,1,0,0,5,1,1,1,3,9
1w4k78966,0,23,,1,0,1,0,7,1,0,0,1,9
1e7n92343,1,24,2,1,0,1,0,4,1,1,1,1,9
1m7t92378,0,21,,1,1,0,0,8,1,1,2,3,9
1s7r32399,1,23,2,1,0,1,0,7,1,0,3,2,9
1c7f52364,1,20,2,1,0,0,0,2,1,1,4,1,9
1u7c34393,1,19,,1,0,0,0,7,1,1,1,1,9
1s7u34369,1,19,2,1,0,1,0,4,1,1,0,1,9
1a5x72775,0,23,,1,0,1,0,3,1,1,1,2,9
1a4a46743,1,20,,1,1,1,0,8,0,0,1,3,9
1s6u74797,1,21,2,1,1,1,0,3,1,0,2,1,9
1m5t88229,0,21,,1,1,0,0,7,0,1,1,2,10
1q3j42235,1,20,2,1,1,1,0,7,1,1,2,2,10
1m3t48286,1,18,,1,1,0,0,8,1,0,1,4,10
1m4w98237,1,24,,1,0,1,0,7,0,1,1,1,10
1m2t48285,1,21,,1,1,1,0,7,1,1,1,2,10
1e4n62262,0,19,2,1,1,1,0,7,0,1,2,2,10
1y9p78796,0,17,,1,1,0,0,8,1,0,2,4,10
1a4a24273,0,19,2,1,0,1,0,7,0,1,2,3,10
1w4h22256,0,22,,1,1,1,0,8,1,1,1,3,10
1q3j58235,1,23,2,1,1,1,0,2,0,1,1,2,10
1u2z22825,0,18,,1,1,0,0,7,1,0,1,3,10
1m4w22274,1,20,2,1,1,1,0,7,1,1,2,2,10
1y9p96795,0,18,,1,1,0,0,7,1,0,1,4,10
1q3m46286,1,18,,1,1,0,0,8,1,0,1,4,10
1g4v88245,1,25,,1,0,1,0,8,1,1,1,2,10
1g5y64227,1,18,,1,0,0,0,7,1,1,1,2,10
1a5a68233,1,23,,1,0,1,0,7,1,1,1,3,10
1q4m26252,0,22,,1,1,1,0,7,1,1,1,2,10
1q4j36279,0,21,,1,0,0,0,7,0,0,1,2,10
1g2v48949,0,21,,1,0,1,0,8,1,1,2,3,10
1w5h84228,1,20,2,1,1,1,0,4,1,1,3,2,10
1g4y78247,0,21,,1,1,1,0,8,1,1,2,2,10
1s4u44244,1,23,,1,0,1,0,6,1,0,0,2,10
1g4v96284,1,19,,1,1,0,0,8,1,0,2,3,10
1g4v92266,0,24,,1,0,1,0,8,1,1,2,3,10
1u5c56223,1,21,,1,1,1,0,8,1,1,0,2,10
1g4v98248,0,26,,1,0,0,1,7,0,0,0,1,10
1m5t52223,1,18,2,1,1,0,0,4,1,1,1,2,10
1w2h58289,1,22,,1,0,1,0,7,1,0,1,1,10
1u2z24297,1,18,2,1,1,1,0,6,1,1,1,3,10
1q4m56247,0,23,2,1,0,1,0,4,1,0,2,1,10
1q4m98893,1,18,,1,1,1,0,8,1,1,1,3,10
1s3u46252,0,19,2,1,1,1,0,7,1,1,2,1,10
1s3r44224,1,23,,1,1,0,0,7,1,1,1,1,10
1a9x72794,1,18,,1,1,0,0,8,1,0,2,4,10
1u5c84224,0,20,,1,0,1,0,7,1,1,1,2,10
1a3a46273,1,23,,1,0,1,0,7,1,1,1,1,10
1m4t48244,1,22,,1,1,1,0,8,1,0,1,2,10
1a2a52286,0,23,,1,0,,0,7,1,0,1,2,10
1u4c66268,1,19,2,1,0,0,0,3,0,1,2,4,10
1m3w36236,1,21,,1,0,0,0,8,1,1,2,4,10
1g2y64282,1,22,,1,0,1,0,7,0,0,1,3,10
1s8r94328,1,23,,1,0,1,0,7,1,1,1,2,10
1y2p34254,1,19,,1,1,1,0,8,0,1,1,4,10
1c9f22578,1,21,,1,1,1,0,8,0,1,0,2,10
1u2c52275,0,24,,1,0,1,0,8,1,1,1,2,10
1s8u86575,1,23,,1,1,0,0,8,1,0,1,3,10
1q9m84587,1,24,,1,0,0,0,8,0,1,1,3,10
1q2m44663,0,25,,1,0,0,0,8,1,0,2,4,10
1y3p84844,1,19,,1,1,0,0,8,1,0,1,3,10
1c9f24587,1,21,,1,0,1,0,8,1,1,2,4,10
1s3r46663,1,28,,1,0,0,0,8,1,0,0,4,10
1c8f44564,1,27,,1,0,,1,7,1,0,1,1,10
1w2h42254,1,22,,1,0,1,0,8,1,1,2,2,10
1q3m48334,1,22,2,1,0,1,0,5,1,1,3,4,10
1y3p58324,1,23,,1,0,1,0,8,1,1,2,4,10
1s2u36387,0,17,,1,1,0,0,7,1,1,1,2,10
1s3r32323,0,20,,1,0,1,0,8,0,0,2,3,10
1w3k64335,1,25,,1,0,0,0,8,0,0,1,2,10
1g3y22343,1,19,,1,0,1,0,7,0,1,1,1,10
1w2h32397,1,19,2,1,0,0,0,5,1,0,1,1,10
1u3z42349,0,26,,1,0,0,0,7,1,0,1,2,10
1g2v84835,1,19,,1,1,0,0,8,1,0,1,2,10
1m8w86949,0,23,,1,0,1,0,7,1,1,0,2,10
1s2u32259,1,21,,1,0,0,0,8,0,1,1,2,10
1a9x78554,1,19,,1,0,0,0,7,1,1,1,3,10
1w6k46548,1,25,,1,1,1,0,6,0,0,0,2,10
1q2j42274,1,25,,1,0,0,0,7,0,1,1,4,10
1q8m92566,1,24,2,1,0,1,0,2,0,1,2,2,10
1a6x98557,0,28,,1,0,1,0,7,1,0,1,1,10
1m3w94677,1,23,,1,0,,0,8,1,0,2,4,10
1u2z54665,0,20,2,1,0,0,0,3,1,1,2,2,10
1y8p48592,0,24,,1,1,0,0,7,0,0,1,3,10
1y9p58596,0,19,2,1,0,0,0,5,1,0,1,2,10
1w2h92649,0,22,,1,0,1,0,7,1,1,1,2,10
1c7f22533,1,21,,1,1,0,0,7,1,1,0,1,10
1e8q84934,1,21,,1,0,0,0,7,0,1,0,3,10
1w7k32543,1,25,,1,0,0,0,8,1,0,2,4,10
1e3n78647,0,23,2,1,0,1,0,1,1,1,4,3,10
1q6m62583,1,19,,1,1,0,0,7,0,1,1,4,10
1m3t82825,1,19,,1,1,0,0,8,1,0,1,3,10
1c6f98595,1,22,,1,0,0,0,8,1,1,2,2,10
1u9c92556,1,19,,1,0,1,0,7,1,1,1,3,10
1e3n36848,0,20,2,1,0,0,0,8,1,0,5,1,10
1a8a82936,0,24,,1,0,1,0,8,0,1,2,3,10
1g3v88674,0,21,,1,0,1,0,7,1,1,1,4,10
1c2f34275,1,24,,1,0,1,0,7,1,1,1,2,10
1w8k46565,1,25,,1,0,1,0,8,1,0,2,2,10
1u7z96553,0,22,,1,0,0,0,8,0,1,1,2,10
1e7q26535,1,21,,1,0,1,0,7,0,1,0,1,10
1m2w96242,0,19,,1,0,1,0,8,0,1,1,2,10
1y6p52678,1,17,,1,1,1,0,7,1,1,1,2,10
1m6t24682,0,20,,1,1,1,0,7,1,1,1,2,10
1w6k86673,0,18,2,1,0,1,0,5,1,1,1,2,10
1m7t92639,1,21,2,1,1,0,0,5,1,1,1,4,10
1u6c46694,1,18,,1,1,1,0,8,1,1,1,4,10
1a7x56899,1,20,2,1,1,1,0,4,1,1,1,1,10
1a6a42688,1,23,2,1,0,1,0,3,1,1,2,2,10
1s6u34673,1,20,,1,1,0,0,7,1,0,1,2,10
1s6u98682,0,23,,1,0,1,0,8,1,1,2,4,10
1c6f74697,1,23,,1,0,1,0,8,1,1,1,4,10
1e6q62684,0,23,2,1,0,1,0,3,1,1,3,3,10
1e6q96683,0,22,,1,0,1,0,8,0,1,2,4,10
1u2c84275,1,23,2,1,1,0,0,7,0,0,2,4,10
1c6f88674,0,18,2,1,1,1,0,5,1,1,2,3,10
1c9f58348,0,18,,1,1,0,0,7,1,1,1,1,11
1y9s76392,1,22,2,1,0,1,0,7,0,1,6,1,11
1w2k88856,1,18,2,1,1,0,0,5,1,0,1,3,11
1y4p84985,0,24,2,1,1,1,0,3,1,1,1,4,11
1q9m36328,1,18,2,1,1,0,0,4,1,1,2,3,11
1g2v66264,1,21,,1,1,1,0,8,0,1,1,4,11
1s9u84359,1,21,,1,1,1,0,8,1,1,0,2,11
1q9j76352,0,20,,1,0,1,0,7,1,0,1,1,11
1m9t36349,0,20,,1,1,0,0,8,1,1,2,2,11
1y9p92362,1,20,,1,1,1,0,8,1,1,1,3,11
1m9w88336,1,22,2,1,0,1,0,7,1,0,2,3,11
1m9w34388,1,18,,1,0,0,0,7,1,1,1,3,11
1s2r62266,1,19,,1,1,1,0,7,1,1,1,4,11
1q9m24388,1,21,,1,1,0,0,8,1,1,2,1,11
1y9s62399,1,22,,1,1,1,0,7,1,1,0,1,11
1g5y28937,1,17,,1,1,1,0,7,0,1,1,3,11
1g5y78939,1,21,,1,1,0,0,8,1,1,2,4,11
1m7t78465,1,22,2,1,0,0,0,5,1,1,1,2,11
1w7k72474,1,17,2,1,1,0,0,5,1,1,1,1,11
1a6a64496,1,17,2,1,1,0,0,4,1,0,0,3,11
1e6q84492,1,19,,1,1,1,0,7,1,1,1,3,11
1m7w76462,1,20,2,1,0,1,0,5,1,1,1,4,11
1m7w74467,1,21,2,1,1,0,0,5,1,1,1,2,11
1s6r38492,1,26,,1,0,1,0,7,0,0,1,3,11
1m2t84262,1,21,,1,1,1,0,8,1,1,2,3,11
1s7r88466,1,20,2,1,0,1,0,4,1,1,2,3,11
1y2p84262,0,25,2,1,1,0,0,4,1,1,1,3,11
1a7a56445,1,23,,1,0,,0,8,1,0,2,2,11
1e7n76436,1,24,,1,0,1,0,5,1,1,2,2,11
1e7n96443,0,19,2,1,1,0,0,3,0,0,1,3,11
1e7n54464,1,17,2,1,1,0,0,6,1,1,2,2,11
1m7w42477,1,19,,1,0,1,0,7,1,1,1,4,11
1g7y68455,0,20,2,1,0,1,0,7,1,1,2,3,11
1y7p38476,0,19,,1,1,0,0,7,1,1,1,1,11
1g7v62467,1,22,2,1,1,0,0,3,1,1,0,1,11
1w4k58988,1,20,2,1,1,1,0,7,1,1,2,4,12
1y2s86426,1,20,,1,0,1,0,7,1,1,1,4,12
1s5u28933,0,23,,1,1,0,0,7,1,1,1,1,12
1m4w44744,1,22,,1,1,1,0,7,1,1,1,1,12
1u2z76569,1,22,,1,0,1,0,7,1,0,1,2,13
1e8q66385,1,19,,1,1,1,0,7,1,1,1,2,13
1a4x64944,0,23,,1,1,1,0,8,0,1,1,2,13
1w2h52969,0,20,,1,0,0,0,8,1,0,1,2,13
1c2f38957,0,18,2,1,0,1,0,8,1,1,6,4,13
1w6k92228,1,20,2,1,1,1,0,4,1,1,1,2,13
1q5m22278,0,22,,1,0,1,0,7,1,1,1,1,13
1y7p26243,1,17,,1,1,0,0,7,1,0,1,3,13
1q7m78223,1,25,,1,0,0,0,8,0,0,2,3,13
1w4h76262,1,21,,1,0,1,0,7,1,1,1,1,14
1s5u86296,1,19,2,1,1,1,0,3,1,1,0,1,14
1q2j72275,1,20,,1,1,1,0,8,0,1,1,4,14
1s4r44974,0,19,,1,0,1,0,7,1,1,1,4,14
1s9u26445,0,21,2,1,1,0,0,4,1,1,4,2,14
1e2q28223,0,19,,1,1,1,0,8,1,1,2,4,14
1g6y66749,1,19,,1,1,0,0,6,1,1,0,1,14
1w7k62538,1,26,2,1,0,1,0,5,0,0,0,1,14
1w2h86277,1,18,2,1,1,1,0,5,1,1,2,1,15
1u7z22666,0,18,,1,1,0,0,7,1,1,1,1,15
1q3j44273,1,21,2,1,0,1,0,5,1,1,1,4,15
1u7c26659,1,20,2,1,1,1,0,5,1,1,3,1,15
1w6k86383,1,24,,1,0,1,0,8,0,1,1,2,15
1s5u56673,0,21,2,0,0,0,0,2,1,1,4,1,15
1w3h68999,1,26,,1,1,0,0,8,1,0,2,1,15
1u5c98274,1,20,,1,1,1,0,7,1,1,1,3,16
1u5c86247,1,19,,1,1,0,0,8,1,1,1,4,16
1u5c22282,1,26,,1,0,0,0,8,0,0,1,3,16
1u5z42284,1,22,2,1,0,0,0,5,0,1,2,1,16
1u5z62276,1,18,,1,1,0,0,8,1,1,1,1,16
1y5p98272,0,20,2,1,1,1,0,5,1,0,1,2,16
1q6m64244,0,22,,1,0,0,0,7,1,0,1,3,16
1a5x26293,0,20,,1,1,1,0,8,0,1,1,2,16
1q5m48283,1,22,2,1,0,1,0,4,1,1,1,2,16
1w5k96259,0,21,2,1,1,1,0,6,1,1,1,2,16
1a5a48298,1,21,2,1,0,0,0,5,1,1,1,1,16
1e7n66239,0,20,,1,1,1,0,7,1,1,0,1,16
1u5z66999,0,23,,1,0,1,0,7,1,0,1,1,16
1m3t34445,0,21,2,1,1,0,0,7,1,0,4,2,16
1w2h84276,1,23,,1,0,0,0,7,1,0,1,2,16
1e4n98752,1,24,,1,1,1,0,7,1,1,1,1,16
1w4h84768,1,23,2,1,1,0,0,3,1,1,4,1,16
1g2v46652,0,21,,1,0,0,0,8,0,1,1,1,16
1a2a48276,0,22,,1,0,,0,8,1,1,1,2,16
1e8n64565,0,23,,1,0,1,0,8,0,0,1,2,16
1u2c78253,1,20,,1,1,1,0,8,1,1,1,3,16
1y3p94625,1,23,2,1,0,1,0,4,1,1,2,1,16
1y7p46554,0,21,2,1,0,0,0,4,1,1,2,2,16
1w8h98556,1,21,,1,0,1,0,8,1,1,2,2,16
1m3w36666,1,26,,1,0,0,0,7,0,0,1,3,16
1a8a96527,1,23,,1,1,1,0,8,1,0,0,3,16
1g8v28577,1,23,,1,0,1,0,7,1,1,1,4,16
1e2q32278,1,20,,1,1,1,0,7,1,1,1,1,16
1e3q34694,1,28,,1,0,0,0,7,1,0,0,3,16
1w2k24263,1,22,,1,1,1,0,7,1,0,0,3,17
